word,pattern
ncbnlbwfozjeidijlxttvbzuenurjupjsioyhhkhcjmbdinmqtnnelpxbdqxxhwlrwxoatlarfswgpywwdhepgnmdbqcegikwsrzkrsqhccjazkhfsxqkigojoeygmkssnbiphgypwfkhunmpouvsdgeeyafnxafhrorozmecenpoxeopjlquhq,idijlxttvbzuenurjupjsioyhhkhcjmbdinmqtnnelpxbdqxxhwlrwxoatlarfswgpywwdhepgnmdbqcegikwsrzkrsqhccja
jntxzpelijhsooklefiysczlrgtrauuwddmywejqctnntgfuihocyttjxnlmpugqfqccczqqjasdmmdyqkafmlwthckydgbjdpdrvoqtalyxqpwhmfiefcewtwvjuqjasdmmdyqkafmlwthckydgbjdpdrvoqtalyxqpwhmfiefcewfpybuqjasdmmdyqkafmlwthckydgbjdpdrvoqtalyxqpwhmfiefcewbenvwhhohhzeskfnbdbd,qjasdmmdyqkafmlwthckydgbjdpdrvoqtalyxqpwhmfiefcew
szcljxeceldggzesxavypofmpxaszqmxtdjudwvkdfxblsqkezcfjeciyqeszkcmxyfevnkwybhfqxhkqowapvqdlhzfjbkxawklkvinsczmlbckiblfvwyspukuukransxezwvaqvnukdwstcjnafvdkiimpxaszqmxtdjudwvkdfxblsqkezcfjeciyqeszkcmxyfevnkwybhfqxhkqowapvqdlhzfjbkxawklkvinsczmllewditzunhvhfywmkulewmpocpmefyxckppcvuafeyafbzpaxtxormpxaszqmxtdjudwvkdfxblsqkezcfjeciyqeszkcmxyfevnkwybhfqxhkqowapvqdlhzfjbkxawklkvinsczmlidpquyyrttrguzfuiuaooaibmngsmryu,mpxaszqmxtdjudwvkdfxblsqkezcfjeciyqeszkcmxyfevnkwybhfqxhkqowapvqdlhzfjbkxawklkvinsczml
ydoblewvirdjtbywlzvisjrkzesyvoedwcnpfgvnvhaezudlcxqtjasaudqonqbbsrnfiiwrbiewmutixakqtwtjwshpoeeyoiaakviylviidzbzyrdmefzfgeacybqqozfdyjzaaxlqdisvknhkgrregsrlifcdideutiusjczeavjvctutipzylyfgwxoswtpssydgvzpumhnarwwqkhkaorsddbgndticzrffrupsnylnpzimsufckiiqzizesvaquukpjcyatpwjlzkbnftdqdpklipzpvpuerxiglizdgapveiogrjqdubnahnjddrbwavaeeeaeszhourwjkrtvnmbzwzingryjzaaxlqdisvknhkgrregssmdsssbpfdquicltshhvfdobfyjzaaxlqdisvknhkgrregsmnytkckammxcwlxfnnynfpoamzazvqoqzeyeujmrxzhkjjlotoyuhfsjypeviyu,yjzaaxlqdisvknhkgrregs
xwnjlrgevfhnexqrfcnkpnqlgewpibjsxywtnsetxhqluyymhzwfdosobgmlfbmdnoyfthyrtkpibrgxgqybmmsqcencojhiyoesrklbifzqgczazycfadiayfucigzcrtyaqmxjbxrtgmzfpullwbdtycpkyvifnmhcuzouvgezfkjiljtkptxiuuqidisuaegwfuqqjlxdhntxlhkpibrgxgqybmmsqcencojhiyoesrklbifzqgczazycfadiayfucigzcrtyymftndcedvdfbhagdjvsgalcjmxbdmvdqhtukvrbuqycpmiglczjtupiekxqynlnnapjzchhhufkpibrgxgqybmmsqcencojhiyoesrklbifzqgczazycfadiayfucigzcrtyrdzvciegxqjohczxdwxiaslnypdjlhxzwmcrsyrczaqbktwqqvkhqnjbqbfibczxlrdzrczgezmffdrrmhgxee,kpibrgxgqybmmsqcencojhiyoesrklbifzqgczazycfadiayfucigzcrty
ofixjizomhrozbqsystradqmyhottfjgcwusrymqmmuuqztnsqvoyjaxjkckyqbdfutekrpqedlipkwmwwzfyaxfyzpausudqjijeczxghgumsxxmydlhlkvkabslzcvrqtzyjytpwpcckjjnzoakbagnbnchxjkorlzbnopggfwblprymvjqmbhzjzsajmawupyznlwsttdyddcbvknxsdgnlr,cckjjnzoakbagnbnchxjkorlzbnopggfwblprymvjqmb
ezuatwtrnfpnxlfaqylfhgwniilsamzideguvrqnmeedkrtjvdnvobfoxahqfvyoodpxmbiidzmirttkqocroanfracaycjypbjncpimhwalpnawhpziefozisrijiudjokfqqzafatjvauxfxclndbgfjfqwexpzcboyblmtzohtvpgxrdpgqibxkxsgolndengaxedccbleijdiuamonyqpbukolwfmxbbomgujwjkqcmohiihawjyomgyujgnnlamschhvqolsceuoarkkjoeiiektieemupmqqawumcdmxfdxnpdpqjioslnarqsgxiqvtuylvrizvsojwdlsekntbmkdrlsbyjritdsjlwpnaeyjfdbzeyzckqrkcdvxqohcmfkylheitkfzafhwdzqkivsjlmhdluwsxfpnzmfbsarldltvrqmcazzdwnwrsjdiurwrmlwtbsoacphvywwluoingdhyhowrxc,pbjncpimhwalpnaw
ryirynzdpenbeidfddnwratgszezeycxfpvbtnbyogllbolyuijtxkcgigfzbkwcojoymctqamlfywxlopuskwtybubwnksgwyoxnojdhbdgzjojntdckvyisnhtvxadhzgfuqloybfhejyqwqghrzpawqdfigfsuphaggzrboisljjpimiijamhgbemzvzvouvsymbotvmchwxirytuhuldxkeuxfkozwxyzjjqrofbgkvhrctkgfoqzqrpulolncsefmbqvntqolcempxfpvbtnbyogllhefuimsntgvnqynrimsqskjhjejbhcogiyorkdxolxzrqgkeuusaybhypbblzqjshqucfdjtgnr,xfpvbtnbyogll
zubdsojbkeipowidyubxdnfrewpfsspgeyzyvqqknantzvnvpkgzribwvlvwnmpwrcohbinkbpoqtpbkinbcssdvqmolpwfaojtvgqleemwaiuvptaysynqihiyszdxielkkrdzvhjhevaqztigqdvcafisfakcrxblmwikiqnhdecaoasdvrxbhbiwpiwtganxfxzukcifuglwasdibhjpnbgnytvvcruvsfdsxdahzkjfaqtwtbbeeeyxcuynsswwrunajkicufzicprusuybvigzeyclwsogmpdbfatdocfhqmkkoxfzdwxrqnyrejnycikrqiojzn,jkicufzicprusuybvigzeyclwsogmpdbfatdocfhqmkkoxfzdwxrqnyre
gdqjixnmtckoypgdelzaaceotwukrxmnpvouooesqelqkdquxyzpzjxqjyjxcsasqdcaejoamtzwuzmjcxglltmstwburfrmkzkrfnhhkycgukrernstgivbqetspwnhmquqydsrknaqbirhukkilvsslvuikcooryfbajjkicjqtpyplqubpusrfbdtagbqurfuclctpfdtxsfdeoxgessrfbdtagbqurfxkwvvuongaynnqnzfnomyabehqsdildomxqjvmtlhjrdggacyfyhcncpnatesosrfbdtagbqurfetwflgchhgbrvbdnrcxowqargeojbwqdjkioceod,srfbdtagbqurf
